Topic,Parent Account,Description,Source Tab,Sales Status
Bulk - Pizza,AMPM,Products: Pizza | Sales Status: Green,Bulk,Green
Tomato Pouch Standard Size - Salsa,Applebee's,"Products: Salsa | Sales Status: Green | Comments: R&D samples have been revised to create fresher cues. AB's R&D is being teed up to start looking at R&D samples, and once R&D approves samples, they are considering not doing full consumer testing like before. More info is coming on the future of this project. | Email: murk.maddock@applebees.com; kelly.medley@cscscoop.com | Phone: Murk: 972-603-6650 Kelly: 816-768-6762",Tomato Pouch Standard Size,Green
Hot Sauce - Cayenne Pepper Sauce,Buffalo Gills,Products: Cayenne Pepper Sauce | Comments: Wing sauce manufacturer | Email: www.buffalogills.com | Phone: (855) 988-3030 (410) 499-9721,Hot Sauce,
Medium Pouch - Taco Sauce,Burger King,Products: Taco Sauce | Sales Status: Not at this time,Medium Pouch,Not at this time
Zero Prep - All Sauces inc. Marinara,Burger King,Products: All Sauces inc. Marinara,Zero Prep,
Retail and Jars - Pizza/Other,Casey's,Products: Pizza/Other,Retail and Jars,
Small Pouch (<16 oz) - BBQ; Asian; Extra Hot; Mango Habanero,Casey's,Products: BBQ; Asian; Extra Hot; Mango Habanero,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Buffalo,Casey's,Products: Buffalo,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Spicy Marinara,Casey's,Products: Spicy Marinara,Small Pouch (<16 oz),
"Zero Prep - Buffalo, Ranch,",Casey's,"Products: Buffalo, Ranch,",Zero Prep,
Bulk - Pizza Sauce,Costco,Products: Pizza Sauce | Sales Status: Red,Bulk,Red
International - Pizza Sauce,Costco,Products: Pizza Sauce,International,
International - Pizza Sauce,Costco,Products: Pizza Sauce,International,
International - Pizza Sauce,Costco,Products: Pizza Sauce,International,
International - Pizza Sauce,Costco,Products: Pizza Sauce,International,
International - Pizza Sauce,Costco,Products: Pizza Sauce,International,
International - Pizza Sauce,Costco,Products: Pizza Sauce,International,
International - Pizza Sauce,Costco,Products: Pizza Sauce,International,
International - Pizza Sauce,Costco,Products: Pizza Sauce,International,
International - Pizza Sauce,Costco,Products: Pizza Sauce,International,
Retail and Jars,DP Dough,Source tab: Retail and Jars,Retail and Jars,
"Tomato Pouch Standard Size - Marinara, chopped, pizza sauce",Darden,"Products: Marinara, chopped, pizza sauce | Sales Status: Green | Comments: OG kids marinara sauce & YH pizza sauce has been put on hold as they have higher priorities. Have ok to make OG marinara made out of Liberty. They reached out about a chili sauce. | Email: kgibbs@darden.com | Phone: 407-361-8411",Tomato Pouch Standard Size,Green
Zero Prep,Darden,Source tab: Zero Prep,Zero Prep,
Bulk - Pizza Sauce,DePalo Foods,Products: Pizza Sauce | Sales Status: Green,Bulk,Green
